Team,PTS,3PM,3PA,FGM,FGA,FTM,FTA,3P%,FG%,FT%,2PM,2PA,2P%,Logo
BOS,9942,1371,3634,3552,7484,1467,1808,30.14,45.66,71.7,2181,3850,56.65,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
GSW,9669,1371,3555,3503,7340,1292,1621,35.09,47.82,76.99,2132,3785,56.33,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
DAL,9369,1211,3288,3318,6932,1522,1999,32.74,49.89,65.0,2107,3644,57.82,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
MIL,9454,1192,3226,3477,7323,1308,1771,34.45,45.29,78.87,2285,4097,55.77,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
BKN,9399,1172,3051,3409,7200,1409,1837,30.26,45.25,71.97,2237,4149,53.92,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
IND,9801,1167,3174,3522,7557,1590,2002,29.69,45.33,76.28,2355,4383,53.73,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
LAC,10954,1144,3081,3949,8278,1912,2515,32.68,46.37,67.08,2805,5197,53.97,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
SAC,9913,1130,3072,3579,7256,1625,2057,28.77,45.58,60.64,2449,4184,58.53,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
LAL,10492,1115,3111,3828,7985,1721,2182,32.82,42.75,67.46,2713,4874,55.66,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
NYK,10225,1105,3144,3720,7949,1680,2233,28.59,46.16,68.79,2615,4805,54.42,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
POR,9245,1092,2992,3291,6997,1571,1961,32.35,45.42,64.44,2199,4005,54.91,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
PHI,10078,1090,2849,3579,7371,1830,2194,32.77,46.42,69.77,2489,4522,55.04,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
MEM,9852,1041,2931,3680,7751,1451,1974,29.18,46.52,68.62,2639,4820,54.75,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
MIA,9127,1035,2999,3251,7120,1590,1902,28.64,46.15,80.86,2216,4121,53.77,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
ATL,10625,995,2844,3938,8274,1754,2136,23.87,46.08,73.63,2943,5430,54.2,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
MIN,9261,974,2687,3427,7033,1433,1915,32.47,47.67,79.18,2453,4346,56.44,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
DEN,9968,961,2544,3787,7387,1433,1906,39.4,51.32,71.31,2826,4843,58.35,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
PHX,9600,954,2577,3562,7412,1522,1910,33.51,46.36,76.09,2608,4835,53.94,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
OKC,9274,940,2648,3405,7313,1524,1856,34.94,45.74,70.2,2465,4665,52.84,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
TOR,10068,931,2763,3761,8127,1615,2091,28.2,45.03,72.11,2830,5364,52.76,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
NOP,9579,907,2485,3539,7355,1594,2001,32.05,47.91,73.45,2632,4870,54.05,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
SAS,8440,893,2597,3173,6967,1201,1591,30.9,45.82,73.22,2280,4370,52.17,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
WAS,8853,886,2505,3294,6774,1379,1756,30.94,46.17,67.94,2408,4269,56.41,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
CLE,8867,884,2402,3300,6710,1383,1781,34.52,48.91,77.38,2416,4308,56.08,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
CHI,9307,868,2415,3488,7123,1463,1804,33.88,47.56,69.98,2620,4708,55.65,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
CHA,7839,822,2477,2905,6535,1207,1577,33.53,43.93,76.87,2083,4058,51.33,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
DET,8412,816,2334,3056,6627,1484,1957,26.32,45.15,80.8,2240,4293,52.18,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
UTA,7885,798,2294,2866,5951,1355,1711,29.15,45.68,64.8,2068,3657,56.55,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
ORL,8432,765,2244,3065,6499,1537,1966,37.21,47.26,74.45,2300,4255,54.05,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
HOU,8197,729,2241,3036,6590,1396,1866,29.31,45.24,76.23,2307,4349,53.05,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
